# Time[fs]	ED=0.0012[aJ]	ED=0.0020[aJ]	ED=0.0028[aJ]	ED=0.0035[aJ]
162.0	3.97806558053E-17	2.61336585754E-17	8.42708342351E-16	1.12056061597E-14
164.0	4.15223430487E-17	2.74933682615E-17	8.43027114721E-16	1.12058228728E-14
166.0	4.36390115377E-17	2.90433136568E-17	8.4329406345E-16	1.1206038057E-14
168.0	4.62129717086E-17	3.07827000707E-17	8.43505480992E-16	1.12065728598E-14
170.0	4.91206605814E-17	3.26918676309E-17	8.43719549498E-16	1.12070558787E-14
172.0	5.22987812939E-17	3.47578030767E-17	8.44525972505E-16	1.12073609599E-14
174.0	5.58222497701E-17	3.70105481484E-17	8.46013142394E-16	1.12074772726E-14
176.0	5.9657076386E-17	3.94705075714E-17	8.48076643451E-16	1.12077337919E-14
178.0	6.40604823171E-17	4.22130333339E-17	8.50004108897E-16	1.12077971949E-14
180.0	6.87026260716E-17	4.53066155671E-17	8.51787376434E-16	1.12079434638E-14
182.0	7.39839489173E-17	4.8839469747E-17	8.54387328196E-16	1.12081215739E-14
184.0	7.97142038703E-17	5.29128505779E-17	8.57109663622E-16	1.12082458674E-14
186.0	8.61468307182E-17	5.75363910062E-17	8.59418136287E-16	1.12084229431E-14
188.0	9.35609412748E-17	6.27577837373E-17	8.61749534121E-16	1.12087191291E-14
190.0	1.01970252074E-16	6.85732915716E-17	8.63901325737E-16	1.1208911912E-14
192.0	1.11329617997E-16	7.49557013522E-17	8.65956559285E-16	1.12091796479E-14
194.0	1.21776618717E-16	8.19528209285E-17	8.67916199671E-16	1.12092935368E-14
196.0	1.33149431834E-16	8.96156212491E-17	8.69578425512E-16	1.12095250417E-14
198.0	1.45504491189E-16	9.79978440396E-17	8.70794358564E-16	1.12097586588E-14
200.0	1.58938698149E-16	1.07340190562E-16	8.71667950795E-16	1.12098535872E-14
202.0	1.73480647665E-16	1.17783032804E-16	8.72361764553E-16	1.12100576539E-14
204.0	1.8961522022E-16	1.29604276071E-16	8.73893035542E-16	1.12101457563E-14
206.0	2.07544966079E-16	1.42959815158E-16	8.76147561026E-16	1.12102608224E-14
208.0	2.28169375377E-16	1.58075244633E-16	8.77944644278E-16	1.12105128502E-14
