# Time[fs]	ED_cav=0.03[aJ]	ED_free=0.03[aJ]	ED_cav=0.06[aJ]	ED_free=0.06[aJ]	ED_cav=0.11[aJ]	ED_free=0.11[aJ]
38.0	5.03899101179E-12	3.80967416265E-9	1.70005345181E-10	2.4539268466E-9	3.5099167614E-9	3.25337712579E-9
40.0	6.32474810476E-12	3.90932968642E-9	1.89088348077E-10	2.55912862194E-9	9.18121446329E-9	3.67603632543E-9
42.0	7.54484504614E-12	4.17672146114E-9	2.10839162211E-10	2.58520077306E-9	1.11841451883E-8	4.09669745412E-9
44.0	9.35615285287E-12	4.43330038877E-9	2.6494451716E-10	2.60556620172E-9	1.31155188884E-8	4.09670130161E-9
46.0	1.15381243851E-11	4.43356841194E-9	3.43743393263E-10	2.61697945064E-9	1.4384673231E-8	4.09670693234E-9
48.0	1.22911074837E-11	4.43549610824E-9	3.88506881696E-10	2.6764908094E-9	1.68263000462E-8	4.09670931158E-9
50.0	2.65000979185E-11	4.44763568095E-9	5.11289341114E-10	2.7268741516E-9	2.34244611965E-8	4.24576379709E-9
52.0	2.9283008838E-11	4.46712131352E-9	6.57534014387E-10	2.87253193973E-9	2.85200749371E-8	4.39414689357E-9
54.0	3.42257451537E-11	4.47628025695E-9	7.29133146602E-10	3.0161707947E-9	2.97393264155E-8	4.39415199245E-9
56.0	4.38705737308E-11	4.47637498899E-9	7.65890220866E-10	3.0162274752E-9	3.05628886699E-8	4.51777762854E-9
58.0	5.36823399145E-11	4.47648787757E-9	8.67004083057E-10	3.01626515368E-9	3.24242894068E-8	4.6424472637E-9
60.0	5.96813503536E-11	4.47661996587E-9	9.70572645042E-10	3.46008510961E-9	4.29946597623E-8	4.64431031178E-9
62.0	6.97270020688E-11	4.49147613975E-9	1.20463817233E-9	3.90512242874E-9	5.84109974622E-8	4.6463366512E-9
64.0	7.98997779934E-11	4.65374077605E-9	1.51551994089E-9	3.90828684055E-9	7.34090728277E-8	4.6718892784E-9
66.0	9.1646278549E-11	4.80070830938E-9	1.67555625013E-9	3.90834978823E-9	1.02683614446E-7	5.33419519298E-9
68.0	1.05293052268E-10	4.80082966318E-9	1.76720475063E-9	3.90868119512E-9	1.24335103077E-7	1.12361422832E-8
70.0	1.18977820073E-10	4.81064966508E-9	1.94442974837E-9	3.90895567839E-9	1.33171652947E-7	3.87260768239E-8
72.0	1.27900813816E-10	4.937303559E-9	2.08028747771E-9	4.42420784947E-9	2.00613394364E-7	1.21320116315E-7
74.0	1.34354688359E-10	5.05409509978E-9	2.25772890848E-9	5.8047111205E-9	3.32453340751E-7	3.04019012217E-7
76.0	1.4522530122E-10	5.0644225121E-9	2.34306892949E-9	6.68909562858E-9	5.29060501255E-7	6.29379209904E-7
78.0	1.50110647611E-10	5.07523371439E-9	2.36143497557E-9	6.72578244819E-9	7.39882745196E-7	1.1244475933E-6
80.0	1.60747847325E-10	5.07660214158E-9	2.38968250728E-9	7.23506892592E-9	1.02394753391E-6	1.8063341233E-6
82.0	1.66681644045E-10	5.14469512368E-9	2.42761584356E-9	7.7401815145E-9	1.31359245404E-6	2.63335328296E-6
84.0	1.70940939803E-10	5.22831124985E-9	2.46073120326E-9	8.09339956312E-9	1.75513929237E-6	3.7012624474E-6
86.0	1.74818093893E-10	5.49343754285E-9	2.48671821955E-9	8.47568806124E-9	2.34982965339E-6	5.17372338549E-6
88.0	1.79500232173E-10	5.74151458206E-9	2.51983122395E-9	8.52001565414E-9	3.04064317702E-6	6.37961073792E-6
90.0	2.12416671579E-10	5.7422516846E-9	2.56755204205E-9	8.52002496435E-9	3.93122123429E-6	9.63758883381E-6
92.0	2.51650788245E-10	5.80893447937E-9	2.64638160649E-9	8.52009146474E-9	6.14195377882E-6	1.45895735689E-5
94.0	2.68788350109E-10	6.01018555344E-9	2.72588720784E-9	8.5579561212E-9	6.55157212424E-6	1.53913629992E-5
96.0	2.81425343806E-10	6.14528412701E-9	2.77097218734E-9	8.59559582468E-9	9.24847471118E-6	2.09349300024E-5
98.0	2.86746280606E-10	6.14912004835E-9	2.80972295992E-9	8.59560635404E-9	1.05042828641E-5	2.31287288119E-5
100.0	2.8871305697E-10	6.15294323004E-9	2.81785347837E-9	8.59658193847E-9	1.191802773E-5	2.71440661108E-5
102.0	2.94623244736E-10	6.15632922684E-9	2.8722693604E-9	8.62473312993E-9	1.3318332882E-4	5.53360668007E-4
104.0	2.97246453485E-10	6.38401267609E-9	2.95092725823E-9	8.66526656837E-9	0.00104883947474	0.00217739684981
106.0	2.9971487235E-10	6.74419307563E-9	3.02627655503E-9	8.68922912982E-9	0.00149584623609	0.00279679044048
108.0	3.02567847492E-10	6.91327581974E-9	3.09063896895E-9	8.70544086457E-9	0.00208560996874	0.00349346703624
110.0	3.08770064233E-10	6.9487513508E-9	3.19427855284E-9	9.19114222399E-9	0.00240142281107	0.00409691069781
112.0	3.15644573729E-10	6.95420252262E-9	3.31093154757E-9	9.67075506155E-9	0.00276596396401	0.00457577851345
114.0	3.22368616943E-10	6.9602424216E-9	3.54566897421E-9	9.6737591139E-9	0.00299966482934	0.00484603819199
116.0	3.2725935947E-10	6.98122094797E-9	3.65535252896E-9	9.68154949628E-9	0.00323544882442	0.0053626214822
118.0	3.31230307806E-10	7.00010599821E-9	3.7605076395E-9	9.69163776541E-9	0.00341474931965	0.00566246387757
120.0	3.35626467343E-10	7.00125553926E-9	3.8680876708E-9	9.69562021908E-9	0.00357751111133	0.00583592064721
122.0	3.37941408558E-10	7.00230940791E-9	3.91095716036E-9	9.6963454977E-9	0.00374336433876	0.00600277438766
124.0	3.42618725966E-10	7.00333906539E-9	3.94785863353E-9	9.69689432589E-9	0.00392787195373	0.00674498570536
126.0	3.44599482253E-10	7.00499405105E-9	4.12964740549E-9	9.69930149017E-9	0.00461103595809	0.00974294364393
128.0	3.49393820954E-10	7.13151001817E-9	4.5841070895E-9	9.72590317364E-9	0.00533857929716	0.0107135411238
130.0	3.51903920473E-10	7.46766590021E-9	4.85728110202E-9	9.77553478525E-9	0.00594489178437	0.012653983765
132.0	3.53324937441E-10	7.67851281026E-9	4.9743321842E-9	9.80316980035E-9	0.00632704198694	0.012896218624
134.0	3.55855276973E-10	7.67948334729E-9	5.04769666336E-9	9.81565445687E-9	0.0065548842755	0.0134798603834
136.0	3.59090526035E-10	7.68340629851E-9	5.20822302721E-9	1.03809834701E-8	0.00672019970909	0.0142644548551
138.0	3.64777514418E-10	7.79261339151E-9	5.67612444734E-9	1.09852257357E-8	0.00788229001361	0.0181000719662
140.0	3.64766778688E-10	7.89869751524E-9	6.24217856857E-9	1.12858679442E-8	0.0088506900495	0.0208057115828
142.0	3.68653536163E-10	7.89911062605E-9	6.49216995453E-9	1.1555000592E-8	0.0105424565304	0.0241138958512
144.0	3.70225449405E-10	7.9067735131E-9	6.56670806372E-9	1.15845800352E-8	0.0124549568815	0.0265421316939
146.0	3.7176004713E-10	7.91846590389E-9	6.64861151885E-9	1.23811525721E-8	0.0135044057459	0.0276694275954
148.0	3.73961035477E-10	7.92272355537E-9	6.77151940433E-9	1.31683310448E-8	0.0146190155783	0.0283819999333
150.0	3.82067433843E-10	7.92291053999E-9	7.10745987293E-9	1.31955193292E-8	0.015512608247	0.0292070579666
152.0	3.89650479438E-10	7.92466406209E-9	7.64289488534E-9	1.53418412536E-8	0.0163297527563	0.0295963512669
154.0	3.92051108665E-10	7.98292152572E-9	8.3690003709E-9	1.77627738032E-8	0.0168801191293	0.0299015222176
