# Times [fs]	Laser	Molecule-Driving	Mean-Field	Cavity-Driving
0.0	0.0	1.0022602916921086E-4	0.0	1.0076852396547998E-4
2.0	0.00288894373957881	0.0029970127206725987	0.0029150045588751403	1.0076303757449493E-4
4.0	0.03712034169739309	0.03728166947734219	0.037310848488153754	1.0162690989318274E-4
6.0	0.12928041921303518	0.12950581544604686	0.12977869441553264	1.0168767017016596E-4
8.0	0.23705106691698402	0.2374312511902999	0.2379143106769875	1.0450907512800156E-4
10.0	0.2862220168476021	0.2867883639721645	0.28735350094444473	1.1390717715619475E-4
12.0	0.29228728935841064	0.29276612201036484	0.2933578097233092	1.2855528131323654E-4
14.0	0.3787033735739882	0.3783423866819126	0.37904573859502233	1.4030330218644686E-4
16.0	0.6178335249521977	0.6157207591046793	0.61669608418689	1.4238590189821757E-4
18.0	0.9114822837608725	0.9074788713758204	0.9087540142240895	1.478798810106971E-4
20.0	1.0967568986656009	1.0918251232175231	1.093233979730734	1.891615736366691E-4
22.0	1.1363665868142387	1.1314714068059613	1.1328689377864818	2.7614519933994103E-4
24.0	1.1612696342071471	1.1559085392842117	1.157273583624791	3.714332711097851E-4
26.0	1.3597642386641229	1.3512274109986993	1.3526693944367894	4.151464960540303E-4
28.0	1.7947914734970762	1.7793972369309226	1.781263023225258	4.194630746132341E-4
30.0	2.2709754813987697	2.248316634379256	2.2507980395350144	4.961364277821208E-4
32.0	2.4936960516227713	2.4684433631282423	2.4713620266103105	7.448939115050582E-4
34.0	2.515452047840763	2.4896467230065946	2.4927047298552933	0.0011089163646017693
36.0	2.7516040539109716	2.7170841368006973	2.7201387702140183	0.0013858710924678005
38.0	3.3508167388822057	3.2972365745835157	3.300612624200702	0.0014568223170518205
40.0	3.987196263084224	3.9146797553114174	3.9186931479062697	0.0014971655328989005
42.0	4.3568059318163135	4.273368079153851	4.277769466992949	0.0018359155580692371
44.0	4.44863748142912	4.36302108042076	4.36762331603361	0.002555948131121103
46.0	4.455601160257732	4.370256276352773	4.374826669470071	0.0033114954383193468
48.0	4.664249481802843	4.569943234717994	4.574311227482945	0.0036778440088611306
50.0	5.215177451086116	5.095182686886792	5.0994443807432095	0.0037140694267053936
52.0	5.949769939832381	5.79226166857008	5.796814054007966	0.004034176009052769
54.0	6.433183858691318	6.2470323662264065	6.252912082959927	0.005153757321622055
56.0	6.469564357527822	6.2785517858968936	6.2867990897327735	0.006789404298841937
58.0	6.635093379700771	6.431805318326007	6.44140087215388	0.008023106814247519
60.0	7.434512584047513	7.17628435037791	7.185994968131662	0.00836166110556927
62.0	8.44216374286443	8.111737089007361	8.12257705724222	0.008485783009228315
64.0	9.087163164260064	8.704146888071465	8.716479903910832	0.009622178153076226
66.0	9.280441347710061	8.877525970928088	8.891683118206329	0.012044428239605519
68.0	9.199266456374247	8.80366891523801	8.8193891480057	0.014555050458851653
70.0	9.209585618045054	8.818976411241282	8.835637034246789	0.01578462266346328
72.0	9.563736129630573	9.152000193747694	9.168611767469354	0.015909870648856926
74.0	10.18969395097781	9.7229071771778	9.738452460145092	0.016715905454726097
76.0	10.721164543640977	10.188838475313187	10.202985096524296	0.01966967525584465
78.0	10.742790999038464	10.177907938684779	10.193999785974347	0.024021037262805273
80.0	10.345150816502036	9.8068918864015	9.832137274779353	0.027327718608337357
82.0	10.362783358044805	9.84587111439904	9.87977341694812	0.028262657899045803
84.0	11.17273631882077	10.586810063244044	10.622075187146464	0.028539610107551166
86.0	12.052322685000222	11.346832217190922	11.382089315566501	0.031178636002970682
88.0	12.377443051274158	11.59210481956193	11.63020624078867	0.03680615054793712
90.0	12.173671398913868	11.382960348740138	11.424675904503777	0.042598879489163195
92.0	11.818789510239727	11.064853776344883	11.110457765817518	0.04545089834626829
94.0	11.692667460981708	10.980733277141177	11.030889424345544	0.0457522717637008
96.0	11.890576399431161	11.190200202617016	11.24300177698995	0.04732020928416541
98.0	12.207968199522725	11.457824731158178	11.510675860644968	0.05328323223134452
100.0	12.218039839361417	11.40391368465826	11.453437879985936	0.06219180100834642
102.0	11.651411300001813	10.822442873671111	10.871501859839206	0.06904754059658137
104.0	10.665474913636803	9.94183596845062	10.004446593000543	0.07104615362824106
106.0	10.008727044919972	9.473962725900089	9.5555197565138	0.07155034023902224
108.0	10.133073506408813	9.66235261759538	9.750751820931963	0.07654482385900367
110.0	10.388877731594752	9.832792641252361	9.921022302502264	0.0872090868175292
112.0	10.113528684509506	9.502223158580835	9.591542983575257	0.09811115777002759
114.0	9.463540528967494	8.897753704775429	8.987933481741278	0.10349315850275036
116.0	8.888428169109181	8.41985103257812	8.511588499632568	0.1040827706206533
118.0	8.651994954571766	8.266703290514034	8.362982796260276	0.10667171766863946
120.0	8.700356821301078	8.326079473567889	8.428479431562646	0.11687716069154173
122.0	8.701064911479776	8.274815150641176	8.37790839477359	0.13239742524623538
124.0	8.346745457078606	7.862709038755488	7.961105402897113	0.14455765151724617
126.0	7.56125502851275	7.06554558820353	7.1564021119936925	0.14821638956633917
128.0	6.582285388256146	6.216333683283846	6.306216546013479	0.14902234898107825
130.0	6.036196588634266	5.846672684361387	5.946646159625422	0.15729847433453625
132.0	6.0028619517048165	5.837169575880626	5.947022119803575	0.17500844234930227
134.0	5.823741789485732	5.577679432591326	5.691593561442749	0.19299028909541283
136.0	5.206835261747888	4.952660052932924	5.064124066811217	0.2018779869599425
138.0	4.516959416405498	4.343589049575529	4.446359350868127	0.20288436803550244
140.0	4.104401921724399	4.025214796823112	4.122587887547624	0.20667624633711804
